Datum,Dan,Aviokompanija,Kod,Destinacija,Tip,Vrijeme
13.04.2025,Nedjelja,Wizz Air,DTM,"Dortmund, Njemačka",Dolazak,11:40
13.04.2025,Nedjelja,Wizz Air,DTM,"Dortmund, Njemačka",Polazak,11:10
14.04.2025,Ponedjeljak,Wizz Air,FMM,"Memmingen, Njemačka",Dolazak,09:55
14.04.2025,Ponedjeljak,Wizz Air,FMM,"Memmingen, Njemačka",Polazak,09:25
14.04.2025,Ponedjeljak,Wizz Air,DTM,"Dortmund, Njemačka",Dolazak,11:40
14.04.2025,Ponedjeljak,Wizz Air,DTM,"Dortmund, Njemačka",Polazak,11:10
14.04.2025,Ponedjeljak,Wizz Air,MLH,"Basel Mulhouse, Francuska",Dolazak,12:30
14.04.2025,Ponedjeljak,Wizz Air,MLH,"Basel Mulhouse, Francuska",Polazak,12:00
14.04.2025,Ponedjeljak,AJet,SAW,"Istanbul, Turska",Dolazak,14:35
14.04.2025,Ponedjeljak,AJet,SAW,"Istanbul, Turska",Polazak,13:35
16.04.2025,Srijeda,Wizz Air,FMM,"Memmingen, Njemačka",Dolazak,09:55
16.04.2025,Srijeda,Wizz Air,FMM,"Memmingen, Njemačka",Polazak,09:25
16.04.2025,Srijeda,Wizz Air,DTM,"Dortmund, Njemačka",Dolazak,11:40
16.04.2025,Srijeda,Wizz Air,DTM,"Dortmund, Njemačka",Polazak,11:10
16.04.2025,Srijeda,Wizz Air,MLH,"Basel Mulhouse, Francuska",Dolazak,12:30
16.04.2025,Srijeda,Wizz Air,MLH,"Basel Mulhouse, Francuska",Polazak,12:00
17.04.2025,Četvrtak,Wizz Air,FMM,"Memmingen, Njemačka",Dolazak,09:55
17.04.2025,Četvrtak,Wizz Air,FMM,"Memmingen, Njemačka",Polazak,09:25
18.04.2025,Petak,Pegasus,SAW,"Istanbul, Turska",Dolazak,10:10
18.04.2025,Petak,Pegasus,SAW,"Istanbul, Turska",Polazak,08:50
18.04.2025,Petak,Wizz Air,FMM,"Memmingen, Njemačka",Dolazak,09:55
18.04.2025,Petak,Wizz Air,FMM,"Memmingen, Njemačka",Polazak,09:25
18.04.2025,Petak,Wizz Air,DTM,"Dortmund, Njemačka",Dolazak,12:25
18.04.2025,Petak,Wizz Air,DTM,"Dortmund, Njemačka",Polazak,11:55
18.04.2025,Petak,Wizz Air,MLH,"Basel Mulhouse, Francuska",Dolazak,12:30
18.04.2025,Petak,Wizz Air,MLH,"Basel Mulhouse, Francuska",Polazak,12:00
20.04.2025,Nedjelja,Wizz Air,FMM,"Memmingen, Njemačka",Dolazak,09:55
20.04.2025,Nedjelja,Wizz Air,FMM,"Memmingen, Njemačka",Polazak,09:25
20.04.2025,Nedjelja,Wizz Air,DTM,"Dortmund, Njemačka",Dolazak,11:40
20.04.2025,Nedjelja,Wizz Air,DTM,"Dortmund, Njemačka",Polazak,11:10
21.04.2025,Ponedjeljak,Wizz Air,FMM,"Memmingen, Njemačka",Dolazak,09:55
21.04.2025,Ponedjeljak,Wizz Air,FMM,"Memmingen, Njemačka",Polazak,09:25
21.04.2025,Ponedjeljak,Wizz Air,DTM,"Dortmund, Njemačka",Dolazak,11:40
21.04.2025,Ponedjeljak,Wizz Air,DTM,"Dortmund, Njemačka",Polazak,11:10
21.04.2025,Ponedjeljak,Wizz Air,MLH,"Basel Mulhouse, Francuska",Dolazak,12:30
21.04.2025,Ponedjeljak,Wizz Air,MLH,"Basel Mulhouse, Francuska",Polazak,12:00
21.04.2025,Ponedjeljak,AJet,SAW,"Istanbul, Turska",Dolazak,14:35
21.04.2025,Ponedjeljak,AJet,SAW,"Istanbul, Turska",Polazak,13:35
23.04.2025,Srijeda,Wizz Air,FMM,"Memmingen, Njemačka",Dolazak,09:55
23.04.2025,Srijeda,Wizz Air,FMM,"Memmingen, Njemačka",Polazak,09:25
23.04.2025,Srijeda,Wizz Air,DTM,"Dortmund, Njemačka",Dolazak,11:40
23.04.2025,Srijeda,Wizz Air,DTM,"Dortmund, Njemačka",Polazak,11:10
23.04.2025,Srijeda,Wizz Air,MLH,"Basel Mulhouse, Francuska",Dolazak,12:30
23.04.2025,Srijeda,Wizz Air,MLH,"Basel Mulhouse, Francuska",Polazak,12:00
24.04.2025,Četvrtak,Wizz Air,FMM,"Memmingen, Njemačka",Dolazak,09:55
24.04.2025,Četvrtak,Wizz Air,FMM,"Memmingen, Njemačka",Polazak,09:25
25.04.2025,Petak,Pegasus,SAW,"Istanbul, Turska",Dolazak,10:10
25.04.2025,Petak,Pegasus,SAW,"Istanbul, Turska",Polazak,08:50
25.04.2025,Petak,Wizz Air,FMM,"Memmingen, Njemačka",Dolazak,09:55
25.04.2025,Petak,Wizz Air,FMM,"Memmingen, Njemačka",Polazak,09:25
25.04.2025,Petak,Wizz Air,DTM,"Dortmund, Njemačka",Dolazak,12:25
25.04.2025,Petak,Wizz Air,DTM,"Dortmund, Njemačka",Polazak,11:55
25.04.2025,Petak,Wizz Air,MLH,"Basel Mulhouse, Francuska",Dolazak,12:30
25.04.2025,Petak,Wizz Air,MLH,"Basel Mulhouse, Francuska",Polazak,12:00
27.04.2025,Nedjelja,Wizz Air,FMM,"Memmingen, Njemačka",Dolazak,09:55
27.04.2025,Nedjelja,Wizz Air,FMM,"Memmingen, Njemačka",Polazak,09:25
27.04.2025,Nedjelja,Wizz Air,DTM,"Dortmund, Njemačka",Dolazak,11:40
27.04.2025,Nedjelja,Wizz Air,DTM,"Dortmund, Njemačka",Polazak,11:10
28.04.2025,Ponedjeljak,Wizz Air,FMM,"Memmingen, Njemačka",Dolazak,09:55
28.04.2025,Ponedjeljak,Wizz Air,FMM,"Memmingen, Njemačka",Polazak,09:25
28.04.2025,Ponedjeljak,Wizz Air,DTM,"Dortmund, Njemačka",Dolazak,11:40
28.04.2025,Ponedjeljak,Wizz Air,DTM,"Dortmund, Njemačka",Polazak,11:10
28.04.2025,Ponedjeljak,Wizz Air,MLH,"Basel Mulhouse, Francuska",Dolazak,12:30
28.04.2025,Ponedjeljak,Wizz Air,MLH,"Basel Mulhouse, Francuska",Polazak,12:00
28.04.2025,Ponedjeljak,AJet,SAW,"Istanbul, Turska",Dolazak,14:35
28.04.2025,Ponedjeljak,AJet,SAW,"Istanbul, Turska",Polazak,13:35
30.04.2025,Srijeda,Wizz Air,FMM,"Memmingen, Njemačka",Dolazak,09:55
30.04.2025,Srijeda,Wizz Air,FMM,"Memmingen, Njemačka",Polazak,09:25
30.04.2025,Srijeda,Wizz Air,DTM,"Dortmund, Njemačka",Dolazak,11:40
30.04.2025,Srijeda,Wizz Air,DTM,"Dortmund, Njemačka",Polazak,11:10
30.04.2025,Srijeda,Wizz Air,MLH,"Basel Mulhouse, Francuska",Dolazak,12:30
30.04.2025,Srijeda,Wizz Air,MLH,"Basel Mulhouse, Francuska",Polazak,12:00
